"","actors_who_need_to_take_action","agents_of_change","call_to_action","cc_id","created_at","created_by","duration_of_problem","escalate_problem_to_govt_officials","flagged_issue","government_program_details","id","impact_achieved_description","impact_affected_community_member_support","impact_called_govt_official","impact_cc_verification_call","impact_community_meetings_attendance_number","impact_community_meetings_done","impact_community_meetings_number","impact_contact_lawyer","impact_contact_news_media","impact_contact_politician","impact_contact_vv_staff","impact_corroboration_call","impact_corroboration_details","impact_date","impact_govt_application_filing","impact_govt_official_no_of_calls","impact_govt_official_no_of_visits","impact_govt_official_support","impact_govt_official_support_details","impact_govt_official_visit","impact_in_process","impact_needs_office_intervention","impact_other_community_member_support","impact_other_community_member_support_details","impact_plan","impact_possible","impact_problem_reporting","impact_public_grievance_mechanism_use","impact_publicize_on_social_media","impact_raised_awareness","impact_rti_application_filing","impact_steps_followed_at_local_level","impact_uid","impact_youtube_publish_date","impact_youtube_url","is_impact","issue","issue_2","issue_footage_received_from_cc_date","level_of_spread","mentor","ngo_collaboration","no_of_individuals_affected","people_impacted","people_involved","primary_affected_groups","problem_identification_by_cc","screened_to","screened_to_total_number","screening_done","screening_shared_to","screening_shared_to_total_number","screening_shared_to_total_private_sharing","screening_sharing","social_movement_work","story_pitch_date","target_official","themes","topic_identification_reason","uid","underlying_reason_of_issue","updated_at","village_name","villages_impacted","youtube_publish_date","youtube_url"
"25","panchayat official","government official","yes",407,2022-07-21 13:54:17,"saroj kumar rawani","yrs or more","visit a government office","no","rural road scheme",4139,NA,"yes","yes",NA,25,"yes",1,"no","yes","no","no",NA,NA,NA,"no",1,2,"yes","panchayat officials, other village officials (non-panchayat), district collector or district officials","yes","yes","yes","no","others","along with the panchayat officer, the block officer has to be contacted as well.","yes","yes","no","yes","told people about the problem (in person)","no","sharing the edited video on social media & encouraging the relevant people to do so",NA,NA,NA,FALSE,"rural innovation","health",2022-07-22,"village","graduate cc","no",350,NA,NA,"no particular groups is affected -- the problem is cross-cutting","no","community members",20,"yes","community members, panchayat official, bdo, district collector",3,5,"yes","no",2022-07-21,NA,"an entitlement problem - meaning a government anti-poverty scheme that people apply for","they toured the village to find out what's going on","jh_5372","absenteeism of officials/public employees",2022-08-25 10:51:57,"sarheta",NA,2022-07-27,"https://youtu.be/jmi61dk72na"
"26","panchayat official","government official","yes",407,2022-07-20 12:55:54,"saroj kumar rawani","yrs or more","sign an application","yes","pradhan mantri awas yojana",4136,NA,"yes","yes",NA,20,"yes",1,"no","no","no","no",NA,NA,NA,"no",2,1,"yes","panchayat officials","yes","yes","no","no","others","video screening, writing application submitting to relevant officer","yes","no","no","yes","told people about the problem (in person)","no","making a social media post, explaining the problem and showing some of the footage",NA,NA,NA,FALSE,"anti poverty programs","anti poverty programs",2022-07-22,"tola/hamlet","graduate cc","no",70,NA,NA,"tribals, adivasi, scheduled tribe","yes","community members",20,"yes","community members, panchayat official, bdo",3,10,"yes","no",2022-07-20,"no","an entitlement problem - meaning a government anti-poverty scheme that people apply for, a material problem (eg delivery of a service, repair of infrastructure)","they toured the village to find out what's going on","jh_5371","delayed service delivery or entitlement provision",2022-08-25 10:48:01,"cycle wise",NA,2022-07-22,"https://youtu.be/qd757zbafiw"
"27","panchayat official","government official","yes",407,2022-07-20 12:55:54,"saroj kumar rawani","yrs or more","visit a government office","yes","pradhan mantri awas yojana",4136,NA,"yes","yes",NA,20,"yes",1,"no","no","no","no",NA,NA,NA,"no",2,1,"yes","panchayat officials","yes","yes","no","no","others","video screening, writing application submitting to relevant officer","yes","no","no","yes","told people about the problem (in person)","no","making a social media post, explaining the problem and showing some of the footage",NA,NA,NA,FALSE,"anti poverty programs","anti poverty programs",2022-07-22,"tola/hamlet","graduate cc","no",70,NA,NA,"tribals, adivasi, scheduled tribe","yes","community members",20,"yes","community members, panchayat official, bdo",3,10,"yes","no",2022-07-20,"no","an entitlement problem - meaning a government anti-poverty scheme that people apply for, a material problem (eg delivery of a service, repair of infrastructure)","they toured the village to find out what's going on","jh_5371","delayed service delivery or entitlement provision",2022-08-25 10:48:01,"cycle wise",NA,2022-07-22,"https://youtu.be/qd757zbafiw"
"28","panchayat official","government official","yes",407,2022-07-20 12:55:54,"saroj kumar rawani","yrs or more","call a government official","yes","pradhan mantri awas yojana",4136,NA,"yes","yes",NA,20,"yes",1,"no","no","no","no",NA,NA,NA,"no",2,1,"yes","panchayat officials","yes","yes","no","no","others","video screening, writing application submitting to relevant officer","yes","no","no","yes","told people about the problem (in person)","no","making a social media post, explaining the problem and showing some of the footage",NA,NA,NA,FALSE,"anti poverty programs","anti poverty programs",2022-07-22,"tola/hamlet","graduate cc","no",70,NA,NA,"tribals, adivasi, scheduled tribe","yes","community members",20,"yes","community members, panchayat official, bdo",3,10,"yes","no",2022-07-20,"no","an entitlement problem - meaning a government anti-poverty scheme that people apply for, a material problem (eg delivery of a service, repair of infrastructure)","they toured the village to find out what's going on","jh_5371","delayed service delivery or entitlement provision",2022-08-25 10:48:01,"cycle wise",NA,2022-07-22,"https://youtu.be/qd757zbafiw"
"29","b.d.o.",NA,"yes",80,2018-09-23 03:05:41,NA,"yrs or more",NA,NA,NA,3765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"visit to bdo office, give an application sign by applicant. screen video to do. submit all important documents","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"anti poverty programs",NA,NA,"individual","graduate cc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b.d.o.",NA,NA,"jh_341_mojo","delayed service delivery or entitlement provision",2022-11-18 10:44:01,"masjid mahalla",NA,2018-09-20,NA
"30","b.d.o.",NA,"yes",71,2018-08-31 05:21:30,NA,"last 1 year",NA,NA,NA,3533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"make an application sign by villagers, submit to bdo office.screen video in community","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"crumbling infrastructure",NA,NA,"village",NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b.d.o.",NA,NA,"jh_305_mojo","low quality service delivery of entitlement provision",2022-11-18 10:44:01,"narki",NA,2018-08-30,NA
"31",NA,NA,"yes",71,2018-08-14 11:17:37,NA,NA,NA,NA,NA,3386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"application, go with community and screen video,","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"crumbling infrastructure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b.d.o.",NA,NA,"jh_285_mojo",NA,2022-11-18 10:44:01,"narki",NA,2018-08-14,NA
"32","b.d.o.",NA,"yes",71,2018-09-02 15:44:57,NA,"last 1 year",NA,NA,NA,3554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"visit to bdo office, give an application, sign by all 8 people and submit all documents to bdo office. screen video in village","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"anti poverty programs",NA,NA,"neighborhood",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b.d.o.",NA,NA,"jh_310_mojo","delayed service delivery or entitlement provision",2022-11-18 10:44:01,"jhandi",NA,2018-09-01,NA
"33","department bureaucrat-state level","government official","no",80,2020-01-15 11:52:58,NA,"yrs or more","sign an application",NA,NA,8542,"bokaro district bermo block panchayat armo village gandke beneath tola nadia dhari of jharkhand state, there was a huge water problem for about 150 years. a meeting took place in panchayat bhavan, during the meeting, i wrote an application and submitted it to the block office. after making the video, i contacted mr. maniram murmu through video whatsapp and talked on the phone. i also whatsapp video to surendra soren of the village and went to the block and contacted the block development officer and showed them the video and also contacted the current head and showed them the video and whatsapp, in this way the work started on 2020 21 under the megha water supply scheme by the jharkhand government and now for about 2 months, water is being received in tola below gandke, which is benefiting 280 people of 40 families, they are getting water and they are very happy. 5000 people from 8 villages around people will get water, this work will be completed in 6 months, then everyone will get water. surendra soren, the former headman of maniram murmu village and mrs. katrina hansda, the current headman, block development officer helped me a lot in getting water.","yes","yes","yes",25,"yes",1,"no","no","no","no","no","no",2022-12-20,"no",5,3,"yes","panchayat officials","yes","no","no","no","others","screen this video to bdo for urgent supply of water by ditching the pond for better water facility for the villagers against contamination and other hazards to the villagers to fail sick.","yes","yes","no","yes","told people about the problem (in person), screened/shared a video about the problem","no","helping the victim make a plan or get motivated to solve the problem themselves, by for instance helping them gather information, fill up a request or telling them whom to contact, or mediating a family/community discussion to make people believe they should take action","jh_763_mojo_impact",2022-12-20,"https://youtu.be/xmcpo9s0_wc",TRUE,"water","governance and accountability",NA,"village","graduate cc","no",150,150,7,"tribals, adivasi, scheduled tribe","yes","community members",3,"yes","community members, panchayat official",3,4,"yes","no",NA,"b.d.o.","material problem (e.g. delivery of a service, repair of infrastructure)","they toured the village to find out what's going on","jh_763_mojo","denial of service delivery or entitlement provision",2023-01-10 12:10:58,"gadke",1,2020-01-15,"https://youtu.be/lz4fsknhlnu"
"34","department bureaucrat-state level","government official","no",80,2020-01-15 11:52:58,NA,"yrs or more","visit a government office",NA,NA,8542,"bokaro district bermo block panchayat armo village gandke beneath tola nadia dhari of jharkhand state, there was a huge water problem for about 150 years. a meeting took place in panchayat bhavan, during the meeting, i wrote an application and submitted it to the block office. after making the video, i contacted mr. maniram murmu through video whatsapp and talked on the phone. i also whatsapp video to surendra soren of the village and went to the block and contacted the block development officer and showed them the video and also contacted the current head and showed them the video and whatsapp, in this way the work started on 2020 21 under the megha water supply scheme by the jharkhand government and now for about 2 months, water is being received in tola below gandke, which is benefiting 280 people of 40 families, they are getting water and they are very happy. 5000 people from 8 villages around people will get water, this work will be completed in 6 months, then everyone will get water. surendra soren, the former headman of maniram murmu village and mrs. katrina hansda, the current headman, block development officer helped me a lot in getting water.","yes","yes","yes",25,"yes",1,"no","no","no","no","no","no",2022-12-20,"no",5,3,"yes","panchayat officials","yes","no","no","no","others","screen this video to bdo for urgent supply of water by ditching the pond for better water facility for the villagers against contamination and other hazards to the villagers to fail sick.","yes","yes","no","yes","told people about the problem (in person), screened/shared a video about the problem","no","helping the victim make a plan or get motivated to solve the problem themselves, by for instance helping them gather information, fill up a request or telling them whom to contact, or mediating a family/community discussion to make people believe they should take action","jh_763_mojo_impact",2022-12-20,"https://youtu.be/xmcpo9s0_wc",TRUE,"water","governance and accountability",NA,"village","graduate cc","no",150,150,7,"tribals, adivasi, scheduled tribe","yes","community members",3,"yes","community members, panchayat official",3,4,"yes","no",NA,"b.d.o.","material problem (e.g. delivery of a service, repair of infrastructure)","they toured the village to find out what's going on","jh_763_mojo","denial of service delivery or entitlement provision",2023-01-10 12:10:58,"gadke",1,2020-01-15,"https://youtu.be/lz4fsknhlnu"
